title,tmdbId,genres,keywords,poster_url,top_cast,director
Phantasm,9638,"['Horror', 'Science Fiction']","['evil', 'ice cream man \xa0', 'mausoleum', 'tall man', 'sentinals', 'sphere']",https://image.tmdb.org/t/p/w500//eR0uJ0Wje1lYJ4aHEpkcjgIM8d7.jpg,"['Angus Scrimm', 'A. Michael Baldwin', 'Bill Thornbury', 'Reggie Bannister']",Don Coscarelli
Psycho II,10576,"['Horror', 'Mystery', 'Thriller']","['female nudity', 'nudity', 'motel', 'psychopath', 'sequel', 'revenge', 'murder', 'suspense', 'gore', 'blood', 'mother son relationship', 'voyeur']",https://image.tmdb.org/t/p/w500//sJAPRj3vHmjV4z97YK84iDovYlm.jpg,"['Anthony Perkins', 'Vera Miles', 'Meg Tilly', 'Robert Loggia']",Richard Franklin
Psycho III,12662,"['Horror', 'Thriller']","['schizophrenia', 'male nudity', 'female nudity', 'prostitute', 'sex', 'nun', 'depression', 'nudity', 'psychopath', 'sequel', 'murder', 'gore', 'blood', 'slasher', 'corpse', 'mental illness', 'crossdressing']",https://image.tmdb.org/t/p/w500//yYY0a3IAitmF8Gg6n98gqxcUREq.jpg,"['Anthony Perkins', 'Diana Scarwid', 'Jeff Fahey', 'Roberta Maxwell']",Anthony Perkins
Rain,61369,['Drama'],"['missionary', 'prostitute', 'rain', 'deluge', 'black and white', 'pre-code', 'persecution', 'tropics']",https://image.tmdb.org/t/p/w500//fFEUnX2Gx3LTBfxLhiMLX0kIcoc.jpg,"['Joan Crawford', 'Walter Huston', 'Matt Moore', 'Guy Kibbee']",Lewis Milestone
Sanjuro,11712,"['Drama', 'Action', 'Comedy']","['japan', 'corruption', 'samurai', 'temple', 'fighter']",https://image.tmdb.org/t/p/w500//zW47oIH3bc3ggmmmzTvKqM4Fqjk.jpg,"['Toshirō Mifune', 'Tatsuya Nakadai', 'Keiju Kobayashi', 'Yûzô Kayama']",Akira Kurosawa
Random Hearts,12618,"['Drama', 'Romance']","['infidelity', 'politician', 'airplane crash', 'death', 'death of husband', 'police sergeant', 'death of wife']",https://image.tmdb.org/t/p/w500//mUK2OyHTyxEngf0aRWLWJRVgGqD.jpg,"['Harrison Ford', 'Kristin Scott Thomas', 'Charles S. Dutton', 'Bonnie Hunt']",Sydney Pollack
Boys Don't Cry,226,"['Crime', 'Drama']","['rape', 'sex', 'identity', 'small town', 'love', 'friends', 'murder', 'romance', 'true', 'transgender', 'anger', 'woman director', 'nebraska', 'small town murder', 'transphobia', 'gender identity']",https://image.tmdb.org/t/p/w500//lPg3kFAedCIHLSE8YxTBb97wAMM.jpg,"['Hilary Swank', 'Chloë Sevigny', 'Peter Sarsgaard', 'Brendan Sexton III']",Kimberly Peirce
The Limey,10388,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']","['prison', 'release from prison', 'suitcase', 'record producer', 'investigation', 'daughter', 'loss', 'revenge', 'stakeout', 'ex-con', 'warehouse', 'hired killer', 'narcotics', 'motel room', 'neo-noir', '1960s']",https://image.tmdb.org/t/p/w500//efAnFInZYrenNvBlLIXN2oLYyNc.jpg,"['Terence Stamp', 'Lesley Ann Warren', 'Luis Guzmán', 'Barry Newman']",Steven Soderbergh
The Mating Habits of the Earthbound Human,17198,"['Comedy', 'Romance', 'Science Fiction']","['secret love', 'independent film', 'stalking']",https://image.tmdb.org/t/p/w500//6HKeiRaPRstC5Uc7y6MmolV5dbi.jpg,"['Carmen Electra', 'Mackenzie Astin', 'David Hyde Pierce', 'Lucy Liu']",Jeff Abugov
Risky Business,9346,"['Comedy', 'Romance']","['brothel', 'high school', 'party']",https://image.tmdb.org/t/p/w500//82KOHShH9raGhkcAN3TztVjqjj3.jpg,"['Tom Cruise', 'Rebecca De Mornay', 'Sean Penn', 'Joe Pantoliano']",Paul Brickman
Total Recall,861,"['Action', 'Adventure', 'Science Fiction']","['oxygen', 'falsely accused', 'resistance', 'mars', 'double life', 'telepathy', 'mutant', 'hologram', 'space colony', 'false identity', 'secret agent', 'dystopia', 'cyberpunk', 'false memory', 'implanted memory']",https://image.tmdb.org/t/p/w500//k62LisG7J56LBQpCYvbO7NQNQyI.jpg,"['Arnold Schwarzenegger', 'Sharon Stone', 'Rachel Ticotin', 'Ronny Cox']",Paul Verhoeven
Body Heat,14412,"['Drama', 'Thriller', 'Crime', 'Romance']","['prison', 'smoking', 'infidelity', 'femme fatale', 'no air conditioning', 'neo-noir']",https://image.tmdb.org/t/p/w500//7tjZkjA64BiQ9jiMTsMvApAxC04.jpg,"['William Hurt', 'Kathleen Turner', 'Richard Crenna', 'Ted Danson']",Lawrence Kasdan
Ferris Bueller's Day Off,9377,['Comedy'],"['chicago', 'high school', 'aftercreditsstinger', 'duringcreditsstinger']",https://image.tmdb.org/t/p/w500//9LTQNCvoLsKXP0LtaKAaYVtRaQL.jpg,"['Matthew Broderick', 'Alan Ruck', 'Mia Sara', 'Jeffrey Jones']",John Hughes
The Year of Living Dangerously,11541,"['War', 'Drama', 'Romance']","['civil war', 'embassy', 'indonesia', 'falling in love']",https://image.tmdb.org/t/p/w500//9Nxy4ZGOq43rXqyMXIft1ruemN3.jpg,"['Mel Gibson', 'Sigourney Weaver', 'Linda Hunt', 'Michael Murphy']",Peter Weir
Children of Paradise,2457,"['Drama', 'Romance']","['pantomime', 'anarchist', 'count', 'love', 'thief', 'murder', 'mime', 'false accusations', 'hoodlum', 'theater', 'actress', 'actor']",https://image.tmdb.org/t/p/w500//yiy9stl1jjVhW44ypkWMFDT8Ix3.jpg,"['Arletty', 'Jean-Louis Barrault', 'Pierre Brasseur', 'María Casares']",Marcel Carné
High Plains Drifter,11901,['Western'],"['gunslinger', 'desperation', 'outlaw']",https://image.tmdb.org/t/p/w500//zEpttlC8KOzjkBqmDqZgy3Y6LC8.jpg,"['Clint Eastwood', 'Verna Bloom', 'Marianna Hill', 'Mitchell Ryan']",Clint Eastwood
Hang 'em High,4929,['Western'],"['prison', 'judge', 'marshal', 'death penalty', 'oklahoma', 'widow', 'cattle drive', 'hanging', 'law man', 'lynching', 'search party']",https://image.tmdb.org/t/p/w500//by8sSnLtthxnrhH2ZMdC41l9YfD.jpg,"['Clint Eastwood', 'Inger Stevens', 'Ed Begley', 'Pat Hingle']",Ted Post
Citizen's Band,85325,['Comedy'],"['radio', 'town', 'citizens band']",https://image.tmdb.org/t/p/w500//ly4sZAf25sAqN7VrkV0O902Bo0P.jpg,"['Paul Le Mat', 'Candy Clark', 'Bruce McGill', 'Roberts Blossom']",Jonathan Demme
Drunken Master,11230,"['Action', 'Comedy']","['trainer', 'sake', 'uncle', 'dojo', 'master', 'kung fu classic', 'drunken master']",https://image.tmdb.org/t/p/w500//cf43J2SH8tECZVl9N5n0Q6Ckche.jpg,"['Jackie Chan', 'Yuen Siu-Tin', 'Hwang Jang-Lee', 'Dean Shek']",Yuen Woo-ping
The Conformist,8416,['Drama'],"['paris', 'italy', 'assassin', 'fascism', 'benito mussolini']",https://image.tmdb.org/t/p/w500//4GNljod7zSzjQSlPmSThWUy25Vr.jpg,"['Jean-Louis Trintignant', 'Stefania Sandrelli', 'Gastone Moschin', 'Dominique Sanda']",Bernardo Bertolucci
Hairspray,11054,"['Comedy', 'Family', 'Music']","['baltimore', 'integration', 'racial segregation', 'detention', 'woman played by man', 'cross cultural relations', 'interracial love', 'cult classic', 'interracial friendship', 'fashion model', 'drag', 'dance show', 'big hair', 'ratted hair']",https://image.tmdb.org/t/p/w500//n78VVWG1jsEpMCtcye13wy1RiAx.jpg,"['Sonny Bono', 'Ruth Brown', 'Divine', 'Deborah Harry']",John Waters
Brief Encounter,851,"['Drama', 'Romance']","['adultery', 'infidelity', 'passion', 'housewife', 'tea', 'duty', 'marriage', 'doctor', 'guilt', 'tearjerker', 'impossible love']",https://image.tmdb.org/t/p/w500//46yqnRK0XwxP686pkWwfLW8NwyV.jpg,"['Celia Johnson', 'Trevor Howard', 'Stanley Holloway', 'Joyce Carey']",David Lean
Reds,18254,"['Drama', 'History']","['journalist', 'russian revolution 1917']",https://image.tmdb.org/t/p/w500//3jOs4aWI7XSVIEaF8KMojNre7A7.jpg,"['Warren Beatty', 'Diane Keaton', 'Edward Herrmann', 'Jack Nicholson']",Warren Beatty
Days of Heaven,16642,"['Drama', 'Romance']","['love triangle', 'chicago', 'wife husband relationship', 'texas', 'field', 'farm', 'marriage', 'love', 'poverty', 'class differences', 'farmer', 'jealous husband', 'boyfriend girlfriend relationship', 'harvest']",https://image.tmdb.org/t/p/w500//dUug5qbctb2ruuClpdQitzkIxbc.jpg,"['Richard Gere', 'Brooke Adams', 'Linda Manz', 'Sam Shepard']",Terrence Malick
The Lady Eve,3086,"['Comedy', 'Romance']","['gambling', 'snake', 'passenger', 'ship', 'fraud', 'daughter', 'revenge', 'wealth', 'money', 'hair', 'cardsharp', 'animated title sequence']",https://image.tmdb.org/t/p/w500//lJYD3CMgKtv12hazSHc7xt3i2uq.jpg,"['Barbara Stanwyck', 'Henry Fonda', 'Charles Coburn', 'Eugene Pallette']",Preston Sturges
Sullivan's Travels,16305,"['Adventure', 'Comedy', 'Drama', 'Romance']","['homeless person', 'film director']",https://image.tmdb.org/t/p/w500//z5cqIM0ysVjkCmaDfyTQnlozdIp.jpg,"['Joel McCrea', 'Veronica Lake', 'Robert Warwick', 'William Demarest']",Preston Sturges
The Palm Beach Story,32255,"['Comedy', 'Romance']","['florida', 'love', 'money', 'divorce']",https://image.tmdb.org/t/p/w500//vl3MVnrUsCa0wRsFTVU0ohbtWy6.jpg,"['Claudette Colbert', 'Joel McCrea', 'Mary Astor', 'Rudy Vallee']",Preston Sturges
Man Facing Southeast,48797,"['Mystery', 'Science Fiction', 'Drama']","['insane asylum', 'insanity', 'psychiatric hospital', 'psychological thriller', 'psychiatry', 'telekenesis']",https://image.tmdb.org/t/p/w500//mUd5T2ctyllWUVISaoIBqng818O.jpg,"['Lorenzo Quinteros', 'Hugo Soto', 'Inés Vernengo', 'Cristina Scaramuzza']",Eliseo Subiela
Niagara,19997,"['Crime', 'Drama', 'Thriller']","['clock tower', 'infidelity', 'honeymoon', 'self-defense', 'waterfall', 'postcard', 'delirium', 'niagara falls', 'murder', 'morgue', 'tour guide', 'fear', 'pursuit', 'hitchcockian', 'screaming', 'unconsciousness', 'film noir', 'adultress']",https://image.tmdb.org/t/p/w500//m9ftjuwaaKHR4iv5SgMpXA5pIGN.jpg,"['Marilyn Monroe', 'Joseph Cotten', 'Jean Peters', 'Max Showalter']",Henry Hathaway
Gilda,3767,"['Drama', 'Romance', 'Thriller']","['casino', 'jealousy', 'penalty', 'buenos aires', 'tricks', 'patent', 'night club', 'extramarital affair', 'musical number', 'film noir']",https://image.tmdb.org/t/p/w500//hz2gG5D3GHaaPZUSnRNjMC3Wl1r.jpg,"['Rita Hayworth', 'Glenn Ford', 'George Macready', 'Joseph Calleia']",Charles Vidor
South Pacific,17352,"['Music', 'Romance', 'War']","['world war ii', 'plantation', 'musical', 'u.s. navy', 'interracial relationship', 'based on play or musical', 'hospital', 'pacific island', 'tragic event', 'laundry', 'tropical island', 'racial stereotype', 'frenchman', 'bali hai', 'dame', 'star crossed lovers']",https://image.tmdb.org/t/p/w500//nYNltu2clFoRQGBz9BtZUTcCbUm.jpg,"['Rossano Brazzi', 'Mitzi Gaynor', 'John Kerr', 'Ray Walston']",Joshua Logan
Flashdance,535,"['Drama', 'Music', 'Romance']","['dancing', 'dance', 'locksmith', 'welder']",https://image.tmdb.org/t/p/w500//ziiy6ORt8BlxWFXskBChBMInvDA.jpg,"['Jennifer Beals', 'Michael Nouri', 'Lilia Skala', 'Kyle T. Heffner']",Adrian Lyne
Indochine,2731,"['Drama', 'Romance']","['civil war', ""love of one's life"", 'communist', 'adoption', 'longing', 'saigon', 'naval officer', 'indochina', 'mother daughter relationship', 'extramarital affair']",https://image.tmdb.org/t/p/w500//sAemRfr6mOSwtQ76e4yUQVImo8B.jpg,"['Catherine Deneuve', 'Vincent Pérez', 'Linh Đan Phạm', 'Jean Yanne']",Régis Wargnier
The Dirty Dozen,1654,"['Action', 'Adventure', 'War']","['based on novel', 'world war ii', 'nazis', 'castle', 'secret mission', 'u.s. army', 'training', 'hand grenade', 'fistfight', 'mission', 'shootout', 'suicide mission', 'soldier', 'explosion', 'commando', 'behind enemy lines', 'military police']",https://image.tmdb.org/t/p/w500//iFpgjfE4gt7guOLvrqgZZoO4Rjk.jpg,"['Lee Marvin', 'Ernest Borgnine', 'Charles Bronson', 'Jim Brown']",Robert Aldrich
Mike's Murder,31043,"['Drama', 'Mystery', 'Thriller']","['tennis', 'investigation', 'coach', 'murder', 'los angeles', 'drug', 'neo-noir']",https://image.tmdb.org/t/p/w500//yP1HylWLrgfMs0d6Vdcs9hEHazy.jpg,"['Debra Winger', 'Mark Keyloun', 'Darrell Larson', 'Brooke Alderson']",James Bridges
Help!,14831,"['Comedy', 'Music']","['musical', 'music', 'cult', 'mad scientist', 'the beatles']",https://image.tmdb.org/t/p/w500//iSfXaWMAvdlidvFd1g4p5nzVogE.jpg,"['George Harrison', 'John Lennon', 'Paul McCartney', 'Ringo Starr']",Richard Lester
Goldfinger,658,"['Adventure', 'Action', 'Thriller']","['secret organization', 'secret intelligence service', 'nuclear radiation', 'fort knox', 'aston martin', 'secret lab', 'kentucky', 'gas attack', 'airplane', 'british secret service', 'duringcreditsstinger']",https://image.tmdb.org/t/p/w500//rFk6CQbt9hVU1rybz3AElvyaxol.jpg,"['Sean Connery', 'Honor Blackman', 'Gert Fröbe', 'Shirley Eaton']",Guy Hamilton
From Russia with Love,657,"['Action', 'Thriller', 'Adventure']","['venice', 'london england', 'terror', 'england', 'assassination', 'spy', 'assassin', 'istanbul', 'russia', 'secret mission', 'secret organization', 'secret intelligence service', 'kgb', 'orient express', 'zagreb', 'gondola', 'phantom', 'villain', 'duringcreditsstinger']",https://image.tmdb.org/t/p/w500//gH4SnuOJnkYZcORXd8woYjnS0kQ.jpg,"['Sean Connery', 'Daniela Bianchi', 'Pedro Armendáriz', 'Lotte Lenya']",Terence Young
Dr. No,646,"['Adventure', 'Action', 'Thriller']","['london england', 'england', 'assassination', 'spy', 'casino', 'exotic island', 'card game', 'space marine', 'intelligence', 'jamaica', 'secret base', 'secret mission', 'baccarat', 'secret organization', 'secret intelligence service', 'nuclear radiation', 'villain', 'secret agent', 'atomic reactor']",https://image.tmdb.org/t/p/w500//w9ph5cUfGbw41WXt7yuXsWeN2TV.jpg,"['Sean Connery', 'Ursula Andress', 'Joseph Wiseman', 'Jack Lord']",Terence Young
The Blue Lagoon,5689,"['Romance', 'Adventure', 'Drama']","['sexual identity', 'shipwreck', 'lovers', 'stranded', 'marooned', 'pacific island', 'teenager', 'deserted island', 'tropical island', 'lost at sea']",https://image.tmdb.org/t/p/w500//hg57Zr63A96mpIQKHxOjHYqCVhI.jpg,"['Brooke Shields', 'Christopher Atkins', 'Leo McKern', 'William Daniels']",Randal Kleiser
A Fistful of Dollars,391,['Western'],"['gang war', 'victim of murder', 'greed', 'hostility', 'spaghetti western']",https://image.tmdb.org/t/p/w500//lBwOEpwVeUAmrmglcstnaGcJq3Y.jpg,"['Clint Eastwood', 'Marianne Koch', 'Gian Maria Volonté', 'Wolfgang Lukschy']",Sergio Leone
Hard Eight,8052,"['Drama', 'Thriller']","['gambling', 'prostitute', 'casino', 'cheating', 'blackmail', 'male friendship', 'gambling debts', 'hostage-taking', 'independent film']",https://image.tmdb.org/t/p/w500//1l5UaoP25Ak8PWCKIULQz70yF03.jpg,"['Philip Baker Hall', 'Gwyneth Paltrow', 'John C. Reilly', 'Samuel L. Jackson']",Paul Thomas Anderson
Home Alone 2: Lost in New York,772,"['Comedy', 'Family', 'Adventure', 'Crime']","['holiday', 'new york', 'new york city', 'christmas']",https://image.tmdb.org/t/p/w500//uuitWHpJwxD1wruFl2nZHIb4UGN.jpg,"['Macaulay Culkin', 'Joe Pesci', ""Catherine O'Hara"", 'Daniel Stern']",Chris Columbus
Someone to Watch Over Me,31650,"['Crime', 'Drama', 'Romance', 'Thriller']","['new york', 'detective', 'marriage', 'murder', 'socialite']",https://image.tmdb.org/t/p/w500//oE3KDZydjYvXSdSbOGk7ctj81ZY.jpg,"['Tom Berenger', 'Mimi Rogers', 'Lorraine Bracco', 'Jerry Orbach']",Ridley Scott
Fight Club,550,['Drama'],"['support group', 'dual identity', 'nihilism', 'rage and hate', 'insomnia', 'dystopia', 'violence']",https://image.tmdb.org/t/p/w500//pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg,"['Edward Norton', 'Brad Pitt', 'Meat Loaf', 'Jared Leto']",David Fincher
The Story of Us,12220,"['Comedy', 'Drama', 'Romance']","[""love of one's life"", 'therapist', 'psychology', 'wedding', 'relationship', 'divorce']",https://image.tmdb.org/t/p/w500//sHRS5yf6JH2ORDohUcX0KlspksG.jpg,"['Bruce Willis', 'Michelle Pfeiffer', 'Rob Reiner', 'Colleen Rennison']",Rob Reiner
Fever Pitch,1610,"['Comedy', 'Romance']","['london england', 'relationship problems', 'sport', 'arsenal london', 'jogging', 'teacher', 'soccer', 'dating']",https://image.tmdb.org/t/p/w500//xTpZGWVo5DDk1oQUrUJcRjqGzGg.jpg,"['Colin Firth', 'Ruth Gemmell', 'Mark Strong', 'Holly Aird']",David Evans
Julien Donkey-Boy,42881,"['Comedy', 'Drama']",['dogme 95'],https://image.tmdb.org/t/p/w500//mK8pJA05Sdp3Hc4KWHMqhaMEbVW.jpg,"['Ewen Bremner', 'Brian Fisk', 'Werner Herzog', 'Chloë Sevigny']",Harmony Korine
The Straight Story,404,['Drama'],"['brother brother relationship', 'mississippi', 'wisconsin', 'lawnmower', 'iowa', 'biography', 'based on true story', 'independent film', 'family relationships', 'family', 'road movie']",https://image.tmdb.org/t/p/w500//tT9cMiVDdtlcdZxOoFy3VRmEoKk.jpg,"['Richard Farnsworth', 'Sissy Spacek', 'Jane Galloway Heitz', 'Joseph A. Carpenter']",David Lynch
The Bad Seed,42196,"['Crime', 'Drama', 'Horror', 'Thriller']",['evil child'],https://image.tmdb.org/t/p/w500//iAgSkpZslQ2s3onL9TaHbyWygtC.jpg,"['Patty McCormack', 'Eileen Heckart', 'Henry Jones', 'Nancy Kelly']",Mervyn LeRoy
Time Bandits,36819,"['Family', 'Fantasy', 'Science Fiction', 'Adventure', 'Comedy']","['treasure', 'map', 'magic', 'time travel', 'titanic', 'cage', 'steampunk', 'minotaur', 'independent film', 'good vs evil', 'tank', 'burglary']",https://image.tmdb.org/t/p/w500//4VZtpwdhHQSa4LUkvujyGAHb1hG.jpg,"['Sean Connery', 'John Cleese', 'Shelley Duvall', 'Michael Palin']",Terry Gilliam
A Man and a Woman,42726,"['Drama', 'Romance']","['widow', 'widower']",https://image.tmdb.org/t/p/w500//gqzc2QioT9cg3PhVVhuaHfw9Ayh.jpg,"['Jean-Louis Trintignant', 'Anouk Aimée', 'Pierre Barouh', 'Valérie Lagrange']",Claude Lelouch
Fitzcarraldo,9343,"['Action', 'Adventure', 'Drama']","['plantation', 'peru', 'amazon', 'opera house', 'rubber plantation', 'riverboat']",https://image.tmdb.org/t/p/w500//oBCnYEKcg1rMhr5JjDnrRpilvDd.jpg,"['Klaus Kinski', 'José Lewgoy', 'Miguel Ángel Fuentes', 'Paul Hittscher']",Werner Herzog
All That Jazz,16858,"['Drama', 'Music']","['show business', 'film making', 'tap dancing', 'movie in movie', 'divorce', 'tv show in film', 'stand-up comedian', 'broadway', 'rainstorm', 'surgery', 'dream sequence', 'editing', 'semi autobiographical', 'restroom', 'screening room', 'amphetamine', 'prescription drug abuse']",https://image.tmdb.org/t/p/w500//meLHG7ZMan8WKVmF5tCTy4B0Hjg.jpg,"['Roy Scheider', 'Jessica Lange', 'Leland Palmer', 'Ann Reinking']",Bob Fosse
Red Sorghum,42006,"['Drama', 'War']",['china'],https://image.tmdb.org/t/p/w500//2CP2eazEBKJ3njm4HM63pMfs5tW.jpg,"['Gong Li', 'Jiang Wen', 'Rujun Ten', 'Ji Liu']",Zhang Yimou
Crimes and Misdemeanors,11562,"['Comedy', 'Drama']","['new york', 'adultery', 'assassin', 'professor', 'brother-in-law', 'murder', 'mistress', 'doctor', 'hired killer', 'documentary filmmaker']",https://image.tmdb.org/t/p/w500//6vC6MLYUICH57MmEVi1UaNaj2Qs.jpg,"['Woody Allen', 'Martin Landau', 'Anjelica Huston', 'Joanna Gleason']",Woody Allen
Bats,10496,"['Horror', 'Thriller']","['mutation', 'bat', 'attack', 'closed mine', 'bat attack', 'boy eaten']",https://image.tmdb.org/t/p/w500//pZRcf2BwcxWg594X6XT2jkR2qdb.jpg,"['Lou Diamond Phillips', 'Dina Meyer', 'Bob Gunton', 'Leon Robinson']",Louis Morneau
Bringing Out the Dead,8649,['Drama'],"['new york', 'coma', 'ambulance', 'night life', 'drug addiction', 'hallucination', 'dying and death', 'night', 'ambulance man', 'alcoholism', 'teacher', 'hospital', 'violence', 'city', 'drug', 'illegal prostitution', 'road movie', 'euthanasia']",https://image.tmdb.org/t/p/w500//aQfYOBZ6C40BP8ayIq4EMOdSKWi.jpg,"['Nicolas Cage', 'Patricia Arquette', 'John Goodman', 'Ving Rhames']",Martin Scorsese
Three to Tango,10563,"['Comedy', 'Romance']","['gay', 'dance', 'architect', 'artist', 'tango', 'business man', 'spying', 'partnership', 'chief executive officer', 'deception', 'business partner', 'affair']",https://image.tmdb.org/t/p/w500//z2EhRgWvzNa2NgoX0uModV6mEb2.jpg,"['Matthew Perry', 'Neve Campbell', 'Dylan McDermott', 'Oliver Platt']",Damon Santostefano
Body Shots,14484,"['Drama', 'Romance']","['alcohol', 'rape', 'sex', 'bar', 'rave', 'party', 'arrested']",https://image.tmdb.org/t/p/w500//1YihuAszdbPMPxK7k46UYLdP1mz.jpg,"[""Jerry O'Connell"", 'Amanda Peet', 'Sean Patrick Flanery', 'Tara Reid']",Michael Cristofer
Brother Can You Spare A Dime,94857,['Documentary'],"['great depression', 'movies']",https://image.tmdb.org/t/p/w500//aBNsTQPUxzCnGJILOLoGmp7k6sG.jpg,"['James Cagney', 'Laverne Andrews', 'Patty Andrews', 'Maxene Andrews']",Philippe Mora
The Ipcress File,15247,['Thriller'],"['england', 'spy', 'cold war', 'espionage', 'swinging 60s', 'harry palmer']",https://image.tmdb.org/t/p/w500//agKGvh42X6ZdfqgK2xZ4180urx5.jpg,"['Michael Caine', 'Nigel Green', 'Guy Doleman', 'Sue Lloyd']",Sidney J. Furie
On Any Sunday,29251,['Documentary'],"['motor sport', 'motorcycle']",https://image.tmdb.org/t/p/w500//bR49AkiGaJUIPFtimT3yJVajdCK.jpg,"['Steve McQueen', 'Bruce Brown', 'David Evans', 'Mert Lawwill']",Bruce Brown
RoboCop,5548,"['Action', 'Thriller', 'Science Fiction']","['cyborg', 'crime fighter', 'human experimentation', 'dystopia', 'weapon', 'cyberpunk', 'detroit', 'law enforcement', 'gentrification', 'robocop']",https://image.tmdb.org/t/p/w500//o8XtRKAg4DUSOhYofyAoUWa9PhK.jpg,"['Peter Weller', 'Nancy Allen', 'Ronny Cox', 'Kurtwood Smith']",Paul Verhoeven
RoboCop 2,5549,"['Action', 'Adventure', 'Crime', 'Science Fiction', 'Thriller']","['cyborg', 'police', 'sequel', 'cyberpunk', 'robot', 'drug', 'police officer', 'robocop']",https://image.tmdb.org/t/p/w500//bmErS9eMqctVSpNaieU56SLfMEC.jpg,"['Peter Weller', 'Nancy Allen', 'Tom Noonan', 'Belinda Bauer']",Irvin Kershner
Who Framed Roger Rabbit,856,"['Fantasy', 'Animation', 'Comedy', 'Crime', 'Family']","['falsely accused', 'film business', 'hiding place', 'suspicion of murder', 'mental breakdown', 'innocence', 'cartoon', 'cartoon sex', 'love sickness', 'private detective', 'movie star', 'live action and animation']",https://image.tmdb.org/t/p/w500//lYfRc57Kx9VgLZ48iulu0HKnM15.jpg,"['Bob Hoskins', 'Christopher Lloyd', 'Joanna Cassidy', 'Charles Fleischer']",Robert Zemeckis
Melvin and Howard,38772,"['Comedy', 'Drama']","['california', 'nevada', 'strip club', 'game show', 'utah', 'reno', 'stripper', 'road trip', 'wedding', 'pregnancy', 'las vegas', 'divorce', 'courtroom', 'will']",https://image.tmdb.org/t/p/w500//pJksoq4XFddT1k5cEvN4n81Bd0R.jpg,"['Jason Robards', 'Paul Le Mat', 'Elizabeth Cheshire', 'Mary Steenburgen']",Jonathan Demme
For Your Eyes Only,699,"['Adventure', 'Action', 'Thriller']","['london england', 'submarine', 'england', 'sea', 'assassin', 'mountain', 'undercover', 'olympic games', 'drug traffic', 'secret mission', 'secret intelligence service', 'kgb', 'coral reef', 'ski jump', 'parrot', 'cryptographic device', 'gang of smugglers', 'figure skating', 'motorcycle', 'monastery', 'british secret service', 'skiing']",https://image.tmdb.org/t/p/w500//rIbhuS2xBHDYWAriFxLABlK2LZV.jpg,"['Roger Moore', 'Carole Bouquet', 'Chaim Topol', 'Lynn-Holly Johnson']",John Glen
Licence to Kill,709,"['Adventure', 'Action', 'Thriller']","['corruption', 'florida', 'secret identity', 'liberation of prisoners', 'drug traffic', 'floatplane', 'transport of prisoners', 'tank car', 'florida keys', 'coast guard', 'airplane', 'british secret service']",https://image.tmdb.org/t/p/w500//yoWMTl54nTHv1vaZiFHN9Vpi4hH.jpg,"['Timothy Dalton', 'Carey Lowell', 'Robert Davi', 'Talisa Soto']",John Glen
Live and Let Die,253,"['Adventure', 'Action', 'Thriller']","['london england', 'new york', 'bomb', 'england', 'spy', 'sheriff', 'dual identity', 'secret identity', 'boat', 'drug traffic', 'tarot cards', 'heroin', 'crocodile', 'jamaica', 'secret mission', 'secret intelligence service', 'drug smuggle', 'voodoo', 'tombstone', 'aftercreditsstinger']",https://image.tmdb.org/t/p/w500//2blGXSwxzbWsT5sY3Y6xozrSoai.jpg,"['Roger Moore', 'Yaphet Kotto', 'Jane Seymour', 'Clifton James']",Guy Hamilton
Rawhead Rex,13511,['Horror'],"['monster', 'ireland']",https://image.tmdb.org/t/p/w500//iaUdeKLtKBuZJavToGiRHySXAPA.jpg,"['David Dukes', 'Niall Toibin', 'Cora Lunny', 'Ronan Wilmot']",George Pavlou
Thunderball,660,"['Adventure', 'Action', 'Thriller']","['paris', 'florida', 'fighter pilot', 'sanatorium', 'secret organization', 'nuclear missile', 'coral reef', 'bahamas', 'scuba diving', 'scuba', 'british secret service']",https://image.tmdb.org/t/p/w500//oJ5ybB57eidPLqZUltrVjshqwcs.jpg,"['Sean Connery', 'Claudine Auger', 'Adolfo Celi', 'Luciana Paluzzi']",Terence Young
House on Haunted Hill,11377,"['Horror', 'Mystery', 'Thriller']","['lunatic asylum', 'aftercreditsstinger']",https://image.tmdb.org/t/p/w500//weiGTsZqBglKxkIn5xj1nEjxn81.jpg,"['Geoffrey Rush', 'Famke Janssen', 'Taye Diggs', 'Peter Gallagher']",William Malone
Music of the Heart,26149,['Drama'],"['independent film', 'school teacher']",https://image.tmdb.org/t/p/w500//knbONQ6d24XtWpRv9Q9D2DyHogo.jpg,"['Meryl Streep', 'Angela Bassett', 'Cloris Leachman', 'Aidan Quinn']",Wes Craven
Being John Malkovich,492,"['Fantasy', 'Drama', 'Comedy']","['individual', 'transvestism', 'sexual identity', 'witch', 'identity', 'subconsciousness', 'new identity', 'pet', 'chimp', 'puppeteer', 'appropriation of another human being', 'externally controlled action', 'married couple', 'brain', 'pet shop', 'door', 'secret love']",https://image.tmdb.org/t/p/w500//9AMAWu2fQpdUfTwKG6HVKoLuivD.jpg,"['John Cusack', 'Cameron Diaz', 'Catherine Keener', 'Charlie Sheen']",Spike Jonze
